StockCode,Description,TotalQuantitySold,TotalRevenue,NumberOfOrders,AvgQuantityPerOrder,RevenueShare,CumulativeRevenueShare,ABC_Category,DemandLevel,ReorderRecommendation,CappedAvgQuantityPerOrder,EstimatedReorderQty
23084,RABBIT NIGHT LIGHT,27153,51251.24,801,33.89887640449438,0.0029974327580915877,0.10129883451373284,A,High Demand,High Priority Restock,33.89887640449438,68
22470,HEART OF WICKER LARGE,17104,49859.5,1743,9.812966150315548,0.0029160367359319993,0.10421487124966483,A,High Demand,High Priority Restock,9.812966150315548,20
21733,RED HANGING HEART T-LIGHT HOLDER,17228,48850.6,1631,10.562844880441446,0.002857031140952471,0.1070719023906173,A,High Demand,High Priority Restock,10.562844880441446,21
21931,JUMBO STORAGE BAG SUKI,25970,47760.99,1714,15.15169194865811,0.002793305215344736,0.10986520760596204,A,High Demand,High Priority Restock,15.15169194865811,30
22189,CREAM HEART CARD HOLDER,15946,47414.200000000004,1129,14.12400354295837,0.0027730231752189053,0.11263823078118095,A,High Demand,High Priority Restock,14.12400354295837,28
15056BL,EDWARDIAN PARASOL BLACK,9351,45885.07,788,11.866751269035532,0.0026835918882221303,0.11532182266940308,A,High Demand,High Priority Restock,11.866751269035532,24
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,45746.75,1442,25.856449375866852,0.0026755022322626017,0.11799732490166569,A,High Demand,High Priority Restock,25.856449375866852,52
22112,CHOCOLATE HOT WATER BOTTLE,9904,45601.340000000004,1447,6.84450587422253,0.0026669979171015617,0.12066432281876725,A,High Demand,High Priority Restock,6.84450587422253,14
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,45059.13,1680,14.461309523809524,0.0026352867230745518,0.1232996095418418,A,High Demand,High Priority Restock,14.461309523809524,29
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,44998.270000000004,1233,13.356853203568532,0.002631727321240422,0.12593133686308222,A,High Demand,High Priority Restock,13.356853203568532,27
21623,VINTAGE UNION JACK MEMOBOARD,6125,44785.83,499,12.274549098196394,0.0026193027513153042,0.12855063961439753,A,High Demand,High Priority Restock,12.274549098196394,25
21181,PLEASE ONE PERSON METAL SIGN,22379,44310.600000000006,1399,15.996426018584703,0.002591508887798483,0.13114214850219602,A,High Demand,High Priority Restock,15.996426018584703,32
22386,JUMBO BAG PINK POLKADOT,23572,43319.16,1055,22.34312796208531,0.0025335244422771195,0.13367567294447313,A,High Demand,High Priority Restock,22.34312796208531,45
22469,HEART OF WICKER SMALL,26193,43316.54,1779,14.723440134907252,0.002533371211373317,0.13620904415584645,A,High Demand,High Priority Restock,14.723440134907252,29
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,43313.9,1228,19.631921824104236,0.0025332168107679584,0.1387422609666144,A,High Demand,High Priority Restock,19.631921824104236,39
22138,BAKING SET 9 PIECE RETROSPOT ,9035,43070.91,1742,5.186567164179104,0.0025190055217164417,0.14126126648833084,A,High Demand,High Priority Restock,5.186567164179104,10
21843,RED RETROSPOT CAKE STAND,4298,42862.74,984,4.367886178861789,0.002506830683073475,0.14376809717140432,A,High Demand,High Priority Restock,4.367886178861789,9
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.200000000004,1457,6.240219629375429,0.002483463555094369,0.1462515607264987,A,High Demand,High Priority Restock,6.240219629375429,12
21754,HOME BUILDING BLOCK WORD,7231,42453.11,1831,3.9492080830147462,0.0024828734406594955,0.1487344341671582,A,High Demand,High Priority Restock,3.9492080830147462,8
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.26,1043,25.984659635666347,0.002446095099493001,0.1511805292666512,A,High Demand,High Priority Restock,25.984659635666347,52
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,1385,14.263537906137184,0.002394424702969546,0.15357495396962076,A,High Demand,High Priority Restock,14.263537906137184,29
22457,NATURAL SLATE HEART CHALKBOARD ,14187,40276.170000000006,1637,8.666463042150275,0.0023555549354213807,0.15593050890504215,A,High Demand,High Priority Restock,8.666463042150275,17
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,40219.82,1144,12.788461538461538,0.0023522593012880702,0.15828276820633022,A,High Demand,High Priority Restock,12.788461538461538,26
48138,DOORMAT UNION FLAG,6146,40053.72,874,7.032036613272311,0.002342544929867613,0.16062531313619782,A,High Demand,High Priority Restock,7.032036613272311,14
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,39909.170000000006,1773,8.103778905809362,0.00233409091187347,0.1629594040480713,A,High Demand,High Priority Restock,8.103778905809362,16
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997,12.71507260891337,0.00233378854402131,0.1652931925920926,A,High Demand,High Priority Restock,12.71507260891337,25
21915,RED  HARMONICA IN BOX ,35229,39870.65,884,39.85180995475113,0.0023318380666771063,0.1676250306587697,A,High Demand,High Priority Restock,39.85180995475113,80
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,644,21.543478260869566,0.002329012652569205,0.16995404331133893,A,High Demand,High Priority Restock,21.543478260869566,43
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,1818,18.646314631463145,0.002320844041754664,0.1722748873530936,A,High Demand,High Priority Restock,18.646314631463145,37
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,30.5,0.002317149539390845,0.17459203689248445,A,Low Demand,Normal Stocking,30.5,15
21166,COOK WITH WINE METAL SIGN ,19652,37029.340000000004,1225,16.042448979591835,0.0021656638303094943,0.17675770072279395,A,High Demand,High Priority Restock,16.042448979591835,32
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,1658,9.434861278648974,0.002164597062490655,0.1789222977852846,A,High Demand,High Priority Restock,9.434861278648974,19
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797,12.968280467445743,0.002143143566256746,0.18106544135154135,A,High Demand,High Priority Restock,12.968280467445743,26
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,36259.65,234,4.303418803418803,0.002120648450787447,0.18318608980232878,A,Medium Demand,Monitor Closely,4.303418803418803,5
22629,SPACEBOY LUNCH BOX ,20271,36150.99,1108,18.295126353790614,0.0021142934622350876,0.18530038326456388,A,High Demand,High Priority Restock,18.295126353790614,37
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,8.237654320987655,0.002098494303321647,0.18739887756788554,A,High Demand,High Priority Restock,8.237654320987655,16
23298,SPOTTY BUNTING,7633,35509.55,1003,7.610169491525424,0.002076778793939252,0.18947565636182478,A,High Demand,High Priority Restock,7.610169491525424,15
85066,CREAM SWEETHEART MINI CHEST,2948,35264.729999999996,809,3.6440049443757725,0.002062460477195384,0.19153811683902017,A,High Demand,High Priority Restock,3.6440049443757725,7
20713,JUMBO BAG OWLS,19463,35162.42,920,21.155434782608694,0.0020564768688869734,0.19359459370790713,A,High Demand,High Priority Restock,21.155434782608694,42
48194,DOORMAT HEARTS,5788,35069.4,857,6.753792298716453,0.002051036586951206,0.19564563029485835,A,High Demand,High Priority Restock,6.753792298716453,14
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,1298,6.816640986132511,0.0020165432577738582,0.19766217355263221,A,High Demand,High Priority Restock,6.816640986132511,14
22960,JAM MAKING SET WITH JARS,8454,33833.72,903,9.362126245847175,0.0019787677460310917,0.1996409412986633,A,High Demand,High Priority Restock,9.362126245847175,19
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,33670.240000000005,985,12.544162436548223,0.0019692066055144366,0.20161014790417775,A,High Demand,High Priority Restock,12.544162436548223,25
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,33298.3,1146,6.116928446771379,0.0019474536656822572,0.20355760156986,A,High Demand,High Priority Restock,6.116928446771379,12
20726,LUNCH BAG WOODLAND,20916,33004.76,1585,13.19621451104101,0.001930285955948596,0.2054878875258086,A,High Demand,High Priority Restock,13.19621451104101,26
22197,SMALL POPCORN HOLDER,42955,32505.93,1039,41.342637151106835,0.0019011118445959958,0.2073889993704046,A,High Demand,High Priority Restock,41.04028856825748,82
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,32470.65,1056,11.305871212121213,0.0018990484910516626,0.20928804786145624,A,High Demand,High Priority Restock,11.305871212121213,23
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520,13.351315789473684,0.0018795641873868495,0.2111676120488431,A,High Demand,High Priority Restock,13.351315789473684,27
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,956,9.685146443514645,0.0018642978275320511,0.21303190987637516,A,High Demand,High Priority Restock,9.685146443514645,19
20685,DOORMAT RED RETROSPOT,4806,31864.2,758,6.3403693931398415,0.0018635802156276018,0.21489549009200276,A,High Demand,High Priority Restock,6.3403693931398415,13
21755,LOVE BUILDING BLOCK WORD,5367,31590.41,1485,3.614141414141414,0.0018475675861802383,0.216743057678183,A,High Demand,High Priority Restock,3.614141414141414,7
48187,DOORMAT NEW ENGLAND,5146,31461.34,728,7.068681318681318,0.0018400189171902414,0.21858307659537324,A,High Demand,High Priority Restock,7.068681318681318,14
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,998,17.374749498997996,0.0018084545207084778,0.22039153111608173,A,High Demand,High Priority Restock,17.374749498997996,35
22727,ALARM CLOCK BAKELIKE RED ,8512,30703.09,1144,7.440559440559441,0.0017956726069580805,0.22218720372303982,A,High Demand,High Priority Restock,7.440559440559441,15
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,30615.930000000004,1300,12.42,0.0017905750475781463,0.22397777877061797,A,High Demand,High Priority Restock,12.42,25
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,30363.75,1002,3.905189620758483,0.0017758262806617643,0.22575360505127973,A,High Demand,High Priority Restock,3.905189620758483,8
22382,LUNCH BAG SPACEBOY DESIGN ,18834,30131.7,1874,10.050160085378868,0.0017622548183612397,0.22751585986964096,A,High Demand,High Priority Restock,10.050160085378868,20
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,971,16.872296601441814,0.0017434489415987585,0.2292593088112397,A,High Demand,High Priority Restock,16.872296601441814,34
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95,572,8.435314685314685,0.0017365360054043086,0.230995844816644,A,High Demand,High Priority Restock,8.435314685314685,17
48185,DOORMAT FAIRY CAKE,4760,29116.96,420,11.333333333333334,0.0017029076705274337,0.23269875248717145,A,High Demand,High Priority Restock,11.333333333333334,23
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915,17.168306010928962,0.0017022374315359922,0.23440098991870745,A,High Demand,High Priority Restock,17.168306010928962,34
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,64.65930599369085,0.0016824004628521222,0.23608339038155957,A,High Demand,High Priority Restock,41.04028856825748,82
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,28581.4,810,6.977777777777778,0.0016715854022677093,0.2377549757838273,A,High Demand,High Priority Restock,6.977777777777778,14
20679,EDWARDIAN PARASOL RED,6029,28557.920000000002,622,9.692926045016078,0.0016702121726412653,0.23942518795646855,A,High Demand,High Priority Restock,9.692926045016078,19
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.300000000003,787,13.374841168996188,0.0016676025684703995,0.24109279052493895,A,High Demand,High Priority Restock,13.374841168996188,27
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,27952.22,1053,4.533713200379867,0.0016347877610255448,0.2427275782859645,A,High Demand,High Priority Restock,4.533713200379867,9
22379,RECYCLING BAG RETROSPOT ,14259,27893.78,1013,14.076011846001974,0.0016313698930796594,0.24435894817904416,A,High Demand,High Priority Restock,14.076011846001974,28
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5745,27595.33,1145,5.0174672489082965,0.0016139150216140632,0.24597286320065823,A,High Demand,High Priority Restock,5.0174672489082965,10
22865,HAND WARMER OWL DESIGN,13675,27514.63,1058,12.925330812854442,0.0016091952758366342,0.24758205847649487,A,High Demand,High Priority Restock,12.925330812854442,26
22188,BLACK HEART CARD HOLDER,10255,27324.45,487,21.057494866529773,0.0015980725837430605,0.24918013106023792,A,High Demand,High Priority Restock,21.057494866529773,42
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,27251.26,511,5.5440313111545985,0.0015937920608998135,0.2507739231211377,A,High Demand,High Priority Restock,5.5440313111545985,11
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059,16.483474976392824,0.00159299315473724,0.252366916275875,A,High Demand,High Priority Restock,16.483474976392824,33
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,1277,7.517619420516836,0.0015921111997642089,0.2539590274756392,A,High Demand,High Priority Restock,7.517619420516836,15
22077,6 RIBBONS RUSTIC CHARM,16026,27031.04,1361,11.775165319617928,0.0015809124770695116,0.2555399399527087,A,High Demand,High Priority Restock,11.775165319617928,24
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,721,21.300970873786408,0.0015701547318613298,0.25711009468457,A,High Demand,High Priority Restock,21.300970873786408,43
22659,LUNCH BOX I LOVE LONDON,15156,26596.719999999998,763,19.863695937090434,0.001555511238084965,0.258665605922655,A,High Demand,High Priority Restock,19.863695937090434,40
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.280000000002,718,8.139275766016713,0.0015537309523171224,0.2602193368749721,A,High Demand,High Priority Restock,8.139275766016713,16
23199,JUMBO BAG APPLES,13875,26426.3,718,19.324512534818943,0.0015455442111284667,0.2617648810861006,A,High Demand,High Priority Restock,19.324512534818943,39
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.35,1578,34.595690747782,0.001544435918904399,0.263309317005005,A,High Demand,High Priority Restock,34.595690747782,69
22467,GUMBALL COAT RACK,11460,26149.13,928,12.349137931034482,0.0015293339021181826,0.26483865090712316,A,High Demand,High Priority Restock,12.349137931034482,25
22492,MINI PAINT SET VINTAGE ,41507,25900.19,618,67.16343042071198,0.0015147746268538314,0.266353425533977,A,High Demand,High Priority Restock,41.04028856825748,82
72741,GRAND CHOCOLATECANDLE,19284,25895.4,823,23.43134872417983,0.0015144944833312306,0.26786792001730825,A,High Demand,High Priority Restock,23.43134872417983,47
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.92,1765,29.93087818696884,0.0015080915370150854,0.26937601155432334,A,High Demand,High Priority Restock,29.93087818696884,60
22752,SET 7 BABUSHKA NESTING BOXES,3273,25620.99,577,5.672443674176776,0.001498445593135639,0.270874457147459,A,High Demand,High Priority Restock,5.672443674176776,11
22726,ALARM CLOCK BAKELIKE GREEN,6713,24898.96,1041,6.448607108549472,0.0014562176124209311,0.27233067475987993,A,High Demand,High Priority Restock,6.448607108549472,13
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,712,19.334269662921347,0.001429995242944252,0.27376067000282417,A,High Demand,High Priority Restock,19.334269662921347,39
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,24323.85,465,29.84731182795699,0.0014225822593347218,0.2751832522621589,A,High Demand,High Priority Restock,29.84731182795699,60
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.55,719,7.389429763560501,0.001421336527177854,0.27660458878933675,A,High Demand,High Priority Restock,7.389429763560501,15
47566B,TEA TIME PARTY BUNTING,5612,24255.3,655,8.56793893129771,0.0014185731072524077,0.27802316189658915,A,High Demand,High Priority Restock,8.56793893129771,17
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,1189,10.238856181665264,0.0014181631268571193,0.27944132502344626,A,High Demand,High Priority Restock,10.238856181665264,20
48138,DOOR MAT UNION FLAG,3733,24216.23,637,5.860282574568289,0.001416288095263261,0.28085761311870955,A,High Demand,High Priority Restock,5.860282574568289,12
23201,JUMBO BAG ALPHABET,12533,24160.44,752,16.66622340425532,0.0014130252127735117,0.2822706383314831,A,High Demand,High Priority Restock,16.66622340425532,33
22624,IVORY KITCHEN SCALES,2916,24137.48,1065,2.7380281690140844,0.0014116823953875173,0.2836823207268706,A,High Demand,High Priority Restock,2.7380281690140844,5
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,920,114.33152173913044,0.0014093751590688113,0.2850916958859394,A,High Demand,High Priority Restock,41.04028856825748,82
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,23812.52,1224,16.392156862745097,0.0013926770845097815,0.2864843729704492,A,High Demand,High Priority Restock,16.392156862745097,33
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,23784.8,465,5.126881720430108,0.0013910558781535197,0.28787542884860273,A,High Demand,High Priority Restock,5.126881720430108,10
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002,1100,35.69,0.0013801606930125383,0.2892555895416153,A,High Demand,High Priority Restock,35.69,71
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,1003,20.438683948155532,0.001377575067723565,0.29063316460933886,A,High Demand,High Priority Restock,20.438683948155532,41
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,23531.47,633,7.394944707740916,0.0013762398533976828,0.29200940446273654,A,High Demand,High Priority Restock,7.394944707740916,15
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,933,9.110396570203644,0.0013748227599628985,0.29338422722269947,A,High Demand,High Priority Restock,9.110396570203644,18
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,939,12.424920127795527,0.0013706948831726765,0.2947549221058721,A,High Demand,High Priority Restock,12.424920127795527,25
22197,POPCORN HOLDER,30919,23417.51,632,48.92246835443038,0.0013695748939330508,0.29612449699980514,A,High Demand,High Priority Restock,41.04028856825748,82
84836,ZINC METAL HEART DECORATION,19328,23331.43,1244,15.536977491961414,0.0013645404984371269,0.2974890374982423,A,High Demand,High Priority Restock,15.536977491961414,31
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,408,30.715686274509803,0.0013640252449018213,0.2988530627431441,A,High Demand,High Priority Restock,30.715686274509803,61
22551,PLASTERS IN TIN SPACEBOY,14623,23194.95,1156,12.649653979238755,0.0013565584550207267,0.30020962119816486,A,High Demand,High Priority Restock,12.649653979238755,25
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,23085.53,815,6.006134969325154,0.001350159017809249,0.3015597802159741,A,High Demand,High Priority Restock,6.006134969325154,12
22507,MEMO BOARD RETROSPOT  DESIGN,5208,23083.44,737,7.066485753052917,0.0013500367839966736,0.3029098169999708,A,High Demand,High Priority Restock,7.066485753052917,14
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,704,11.984375,0.0013480781187415797,0.30425789511871243,A,High Demand,High Priority Restock,11.984375,24
23173,REGENCY TEAPOT ROSES ,2662,23033.52,354,7.519774011299435,0.0013471172089135354,0.305605012327626,A,High Demand,High Priority Restock,7.519774011299435,15
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,820,14.386585365853659,0.0013457486580933148,0.30695076098571933,A,High Demand,High Priority Restock,14.386585365853659,29
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,22805.99,815,35.895705521472394,0.001333810099164609,0.30828457108488394,A,High Demand,High Priority Restock,35.895705521472394,72
21930,JUMBO STORAGE BAG SKULLS,12305,22795.28,997,12.342026078234705,0.0013331837239815077,0.30961775480886544,A,High Demand,High Priority Restock,12.342026078234705,25
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,22471.86,646,12.356037151702786,0.0013142684801235643,0.310932023288989,A,High Demand,High Priority Restock,12.356037151702786,25
22961,JAM MAKING SET PRINTED,15867,22328.95,903,17.571428571428573,0.0013059103776569925,0.312237933666646,A,High Demand,High Priority Restock,17.571428571428573,35
22867,HAND WARMER BIRD DESIGN,11000,22168.33,907,12.127894156560089,0.001296516504462809,0.3135344501711088,A,High Demand,High Priority Restock,12.127894156560089,24
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.079999999998,385,12.098701298701299,0.0012930512636039157,0.3148275014347127,A,High Demand,High Priority Restock,12.098701298701299,24
82600,NO SINGING METAL SIGN,11194,22097.04,970,11.54020618556701,0.0012923471032673579,0.3161198485379801,A,High Demand,High Priority Restock,11.54020618556701,23
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,22079.739999999998,1087,17.490340386384545,0.0012913353114216387,0.3174111838494017,A,High Demand,High Priority Restock,17.490340386384545,35
22383,LUNCH BAG SUKI  DESIGN ,13896,22026.4,1073,12.950605778191985,0.0012882157173724686,0.3186993995667742,A,High Demand,High Priority Restock,12.950605778191985,26
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23,1160,38.904310344827586,0.001277210580285247,0.3199766101470594,A,High Demand,High Priority Restock,38.904310344827586,78
21231,SWEETHEART CERAMIC TRINKET BOX,18488,21793.25,1171,15.788215200683176,0.0012745799214863775,0.3212511900685458,A,High Demand,High Priority Restock,15.788215200683176,32
21481,FAWN BLUE HOT WATER BOTTLE,7526,21779.5,834,9.023980815347722,0.0012737757516668032,0.3225249658202126,A,High Demand,High Priority Restock,9.023980815347722,18
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,21682.030000000002,1003,7.685942173479561,0.0012680752111348828,0.3237930410313475,A,High Demand,High Priority Restock,7.685942173479561,15
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8,1348,33.175816023738875,0.0012604586994546527,0.3250534997308021,A,High Demand,High Priority Restock,33.175816023738875,66
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,21540.440000000002,789,23.579214195183777,0.0012597943089709901,0.3263132940397731,A,High Demand,High Priority Restock,23.579214195183777,47
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,21490.170000000002,599,14.77295492487479,0.0012568542641106263,0.32757014830388376,A,High Demand,High Priority Restock,14.77295492487479,30
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,21458.42,544,5.512867647058823,0.001254997362890882,0.3288251456667746,A,High Demand,High Priority Restock,5.512867647058823,11
22835,HOT WATER BOTTLE I AM SO POORLY,4638,21398.28,815,5.69079754601227,0.0012514800703127583,0.3300766257370874,A,High Demand,High Priority Restock,5.69079754601227,11
22728,ALARM CLOCK BAKELIKE PINK,5833,21369.98,772,7.555699481865285,0.00124982494261138,0.3313264506796988,A,High Demand,High Priority Restock,7.555699481865285,15
22087,PAPER BUNTING WHITE LACE,7752,21336.350000000002,663,11.692307692307692,0.0012478580894453959,0.3325743087691442,A,High Demand,High Priority Restock,11.692307692307692,23
84406B,CREAM CUPID HEARTS COAT HANGER,6682,21256.0,724,9.2292817679558,0.0012431588134451926,0.33381746758258934,A,High Demand,High Priority Restock,9.2292817679558,18
20749,ASSORTED COLOUR MINI CASES,2972,21169.64,726,4.09366391184573,0.001238108042127488,0.33505557562471683,A,High Demand,High Priority Restock,4.09366391184573,8
22607,WOODEN ROUNDERS GARDEN SET ,2406,20978.47,643,3.7418351477449456,0.0012269274498069049,0.33628250307452373,A,High Demand,High Priority Restock,3.7418351477449456,7
22113,GREY HEART HOT WATER BOTTLE,5623,20977.78,913,6.15881708652793,0.0012268870951032316,0.33750939016962694,A,High Demand,High Priority Restock,6.15881708652793,12
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,20950.16,1100,11.92,0.0012252717372547486,0.3387346619068817,A,High Demand,High Priority Restock,11.92,24
22090,PAPER BUNTING RETROSPOT,7632,20933.24,658,11.598784194528875,0.0012242821697385888,0.33995894407662025,A,High Demand,High Priority Restock,11.598784194528875,23
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772,13.853626943005182,0.001223598479179256,0.3411825425557995,A,High Demand,High Priority Restock,13.853626943005182,28
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,20838.9,758,7.5514511873350925,0.0012187646875001423,0.34240130724329965,A,High Demand,High Priority Restock,7.5514511873350925,15
22605,WOODEN CROQUET GARDEN SET,1710,20813.809999999998,548,3.1204379562043796,0.0012172972968984607,0.3436186045401981,A,High Demand,High Priority Restock,3.1204379562043796,6
22090,PAPER BUNTING RETRO SPOTS,7595,20723.25,607,12.512355848434925,0.00121200088825405,0.3448306054284522,A,High Demand,High Priority Restock,12.512355848434925,25
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621,17.10144927536232,0.001207213884637166,0.34603781931308936,A,High Demand,High Priority Restock,17.10144927536232,34
21314,SMALL GLASS HEART TRINKET POT,10447,20588.260000000002,711,14.693389592123768,0.001204105987603553,0.3472419253006929,A,High Demand,High Priority Restock,14.693389592123768,29
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,20506.300000000003,654,8.204892966360855,0.0011993125506281122,0.34844123785132103,A,High Demand,High Priority Restock,8.204892966360855,16
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,20471.68,1097,11.690063810391978,0.0011972877972351184,0.34963852564855613,A,High Demand,High Priority Restock,11.690063810391978,23
